Institute Name,Branch name,Open,Close
Jadavpur University,Computer Science & Engineering/ Computer Science & Technology,69,107
Jadavpur University,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,110,161
Jadavpur University,Information Technology,164,183
Jadavpur University,Electrical Engineering,196,323
Jadavpur University,Instrumentation Engineering/Instrumentation & Electronics Engineering,188,365
Jadavpur University,Mechanical Engineering,227,379
Jadavpur University,Chemical Engineering,383,484
Jadavpur University,Civil Engineering,419,487
Jadavpur University,Metallurgical Engineering,491,577
Jadavpur University,Power Engineering/Power Plant Engineering,547,580
Jadavpur University,Production Engineering,488,602
Jadavpur University,Construction Engineering,502,655
Jadavpur University,Printing Engineering/Printing Technology,635,684
Jadavpur University,Food Technology And Bio Chemical Engineering,668,711
Jadavpur University,B.Pharm/Pharmaceutical Technology,951,1135
University Of Calcutta,Computer Science & Engineering/ Computer Science & Technology,257,1137
Jadavpur University,Architecture,725,1417
"Kalyani Goverment Engineering College,",Computer Science & Engineering/ Computer Science & Technology,430,1502
University Of Calcutta,Information Technology,1154,1521
University Of Calcutta,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,1228,1772
Institute Of Engineering and Management,Computer Science & Engineering/ Computer Science & Technology,473,1780
University Of Calcutta,Electrical Engineering,820,1833
Maulana Abul Kalam Azad University Of Technology,Computer Science & Engineering/ Computer Science & Technology,827,2173
"Kalyani Goverment Engineering College,",Electronics & Communication Engineering/Electronics & Telecommunication Engineering,732,2180
University Of Calcutta,Instrumentation Engineering/Instrumentation & Electronics Engineering,1860,2251
University Of Calcutta,Chemical Engineering,1200,2430
Maulana Abul Kalam Azad University Of Technology,Information Technology,2245,2887
"Kalyani Goverment Engineering College,",Electrical Engineering,1519,2925
"Kalyani Goverment Engineering College,",Information Technology,1588,2933
"University Of Kalyani, Science Instrumentation Centre",Information Technology,754,3014
Institute Of Engineering and Management,Information Technology,1785,3169
Heritage Institute Of Technology,Computer Science & Engineering/ Computer Science & Technology,608,3434
"Kalyani Goverment Engineering College,",Mechanical Engineering,1546,3553
University Of Calcutta,Optics & Optoelectronics,1710,3634
Institute Of Engineering and Management,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,1206,3974
Jalpaiguri Goverment Engineering College,Computer Science & Engineering/ Computer Science & Technology,1595,4015
Heritage Institute Of Technology,Information Technology,3436,4254
University Of Calcutta,Chemical Technology,2478,4506
Goverment College Of Engineering And Leather Technology,Computer Science & Engineering/ Computer Science & Technology,1795,4609
University Of Calcutta,Polymer Science & Technology,2905,5087
Govt. College Of Engineering and Ceramic Technology,Computer Science & Engineering/ Computer Science & Technology,1761,5241
Institute Of Engineering and Management,Electrical & Electronics Engineering,1868,5632
Heritage Institute Of Technology,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,1699,5735
"University Of Kalyani, Science Instrumentation Centre",Applied Electronics & Instrumentation Engineering/ Electronics & Instrumentation Engineering,2561,5805
Jalpaiguri Goverment Engineering College,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,2763,5890
"Govt. College Of Engineering & Textile Technology, Serampore",Computer Science & Engineering/ Computer Science & Technology,3602,5987
Jalpaiguri Goverment Engineering College,Electrical Engineering,2563,6095
Jalpaiguri Goverment Engineering College,Information Technology,2789,6305
Institute Of Engineering and Management,Electrical Engineering,845,6868
Jalpaiguri Goverment Engineering College,Mechanical Engineering,3962,7192
Institute Of Engineering and Management,Mechanical Engineering,746,7254
Goverment College Of Engineering And Leather Technology,Information Technology,4744,7287
Heritage Institute Of Technology,Electrical Engineering,2078,7325
Govt. College Of Engineering and Ceramic Technology,Information Technology,5571,7690
"Govt. College Of Engineering & Textile Technology, Serampore",Information Technology,5083,8236
Jalpaiguri Goverment Engineering College,Civil Engineering,1576,8248
Govt. College Of Engineering and Ceramic Technology,Ceramic Enginering And Technology,3567,9223
Heritage Institute Of Technology,Applied Electronics & Instrumentation Engineering/ Electronics & Instrumentation Engineering,4427,9695
"Govt. College Of Engineering & Textile Technology, Serampore",Textile Technology,4136,10591
Heritage Institute Of Technology,Mechanical Engineering,1267,11006
Heritage Institute Of Technology,Chemical Engineering,991,12972
Heritage Institute Of Technology,Civil Engineering,1294,14319
Goverment College Of Engineering And Leather Technology,Leather Technology,9402,16440
Heritage Institute Of Technology,Biotechnology,6811,16692
"Govt. College Of Engineering & Textile Technology, Serampore",Apparel & Production Management,7736,19115
